用户名,评论时间,评论内容,点赞数
平常的心看股票,2019-11-30 17:06:37,如果除去暴雷风险，此股的股价这里应该是底部附近了。但股价下跌已经形成了趋势惯性，不排除继续下探确认低点。最希望的走势是近期来个带量的大阴线破4后释放情绪，确认底部，然后稍稍拉回，在4-4.25做一个平台完成发行期首日的前20天均价计算，然后开始缓步拉升到更高的位置横盘（4.5-4.7或更高，看大势和新能源车行业情况）完成增发。这是我希望的走势，不是说一定会走成这样，yy好玩而已。不过如果真的带量破4，缩量后我会考虑适当补仓。（目前100手玩着）,1
韭菜下酒,2019-11-30 17:16:36,此货走势几乎颠覆了所有市场逻辑，就是一个怪胎！,0
韭菜下酒,2019-11-30 17:17:56,细思极恐！,0
长宁大佬,2019-11-30 17:19:22,目前静待放量K线，上下兼可。,1
长宁大佬,2019-11-30 17:21:08,我目前2成仓，还有8成空仓，我会与庄同行的。,0
韭菜下酒,2019-11-30 17:31:41,对于此货，任何技术分析、走势预测都是没有意义的。,0
长宁大佬,2019-11-30 18:59:09,主力的外裤已然褪下，正在脱秋裤，我也不介意他脱内裤，因为我是不会不好意思他，他想脱谁拦得住?哈哈哈哈哈哈,0
带头大哥5,2019-11-30 19:47:13,我只能说涨跌你说了不算,0
格林美股友,2019-11-30 20:03:00,请问居民家的废旧电子产品是怎么收集的，为什么不能直接从居民手里收集格林美：回复：感谢您的建议！公司拥有自建的回收渠道，包括建立再生资源大市场、参股互联网回收公司等，不断提高回收比例；另外，公司也在积极推动与政府合作，共同推动垃圾分类回收，实现电子废弃物资源化、无害化回收利用。（来自 深交所互动易）  答复时间 2019-12-05 18:00:00,0
三思行稳,2019-11-30 20:09:45,董秘：您好！国家发改委与中国建设银行将建立战略合作机制，以支持战略性新兴产业发展壮大为目标，共同发起设立国家级战略性新兴产业发展基金，并通过设立子基金等方式进一步吸引社会资金，基金目标规模约3000亿元。基金具体将投向新一代信息技术、高端装备、新材料、生物、新能源汽车、新能源、节能环保和数字创意等战略性新兴产业领域，支持战略性新兴产业重大工程建设，突出先导性和支柱性，优先培育和大力发展一批战略性新兴产业集群，构建产业体系新支柱。建议格林美公司争取一下！,3
蚂蚁虽小也是肉,2019-11-30 20:35:29,都别听这些唱多的，这股主力基本转移干净了，现在是自由落体！,3
飞黄善贾的云中鹤,2019-11-30 21:36:44,这股应该没有太大问题，能够定增获批，本身应该就是国家支持和认可的行业，营收利润稳步增长，应该目前只是没资金关注吧,0
股友fsa2qJ,2019-11-30 21:57:29,楼上的你是帮格垃圾说话吗？这个垃圾股只会圈钱。5元的价位9个月都涨不上来。你居然会说这垃圾没问题。,0
股友XwBU1a,2019-11-30 22:00:50,今天我老大去谈定增了，我老大出2.8元，对方出3.8元，我老大不允。,1
长宁大佬,2019-11-30 22:21:56,套牢的一定盼涨，这货属于下跌末端，所以不管那些骂娘的，只等放量K线，上下都一样，不是说主力看坏弃庄了吗，那就放量吧，我等着，不放量，阴跌我看戏，下周你们开始空吔。,1
长宁大佬,2019-11-30 22:48:22,定增一定有让价，无可厚非，量那么大又要锁仓，盘子就不做了，这就是两码事儿，别扯啥谈价，梦没醒吧，入主定增的上吧里来聊个毛啊，只能骗傻子。股价是有自身规律的，有技术指标要求的，别扯没用的。,3
氪金的韭菜涨得高,2019-11-30 23:12:07,配股才是。上面政策是你只要有项目，就给批。定增是机构,0
长宁大佬,2019-11-30 23:20:28,胆小的下周不要买，放量大阴急杀时会很可怕的，必须有周密的应对方案。,0
那年那月那日,2019-11-30 23:31:03,nan,2
股无常势人无常康,2019-11-30 23:49:50,目前因为定增，不会出现放量阳线和阴线，股价就在四左右震荡，定增完后，会有估值修复。,0
氪金的韭菜涨得高,2019-12-01 07:56:37,等鱼死了，再买才有好价钱,0
股无常势人无常康,2019-12-01 11:50:13,上次十四万多手，全卖给小散了？,0
股神老鬼的助理,2019-12-01 13:34:37,nan,1
无味沙漠,2019-12-01 20:04:06,只是股东看不到回报，所以必招抛弃,0
韭菜下酒,2019-12-01 20:36:07,万事皆空，因果不空。善恶有报，冥冥之中。,0
韭菜下酒,2019-12-02 13:12:28,万事皆空，因果不空。善恶有报，冥冥之中。,0
韭菜下酒,2019-12-02 19:42:52,万事皆空，因果不空。善恶有报，冥冥之中。,0
韭菜下酒,2019-12-03 19:48:29,万事皆空，因果不空。善恶有报，冥冥之中。,0
格林美股友,2020-01-01 00:49:00,格林美与160家企业签订的回收协议不是排他性质的吧！格林美：回复：感谢您的关注！公司围绕打造“电池回收—原料再造—材料再造—电池包再造—新能源汽车服务”新能源全生命周期价值链，积极构建“1+N”废旧电池回收利用网络，打造“沟河江海”全国性回收利用体系，已与180多家车企、电池企业签订了车用动力电池回收处理协议，大力推动我国动力蓄电池的有效利用、环保处置和溯源管理。回收协议具体签约情况由双方协商决定。（来自 深交所互动易）  答复时间 2020-01-04 19:36:00,0
格林美股友,2020-01-01 00:52:00,三元前驱体马上进入供应过剩局面，道氏技术扩产10万吨，华友钴业20万吨，紫金矿业10万吨，格林美怎么办？格林美：回复：新能源汽车行业是一个全球性的市场，需要以全球化的视野来看待行业的发展问题。从国家战略上看，新能源汽车作为国家战略的地位不会动摇。2019年12月，国家发布了《新能源汽车产业发展规划（2021-2035年）》（征求意见稿），指出发展新能源汽车是我国从汽车大国迈向汽车强国的必由之路，是应对气候变化、推动绿色发展的战略举措，到2025年，新能源汽车新车销量占比达到25%左右，该规划为未来十五年中国新能源汽车的发展指明了方向，表明了国家对新能源行业的认可。前段时间，德国总理默克尔参观大众集团，强调政府将出台优惠政策大力扶持德国新能源汽车产业的发展，以德国为首的欧洲政府纷纷出台政策大力支持本国新能源汽车产业的发展。同时，主流汽车厂商都将新能源汽车作为未来的主攻方向，积极布局新能源汽车行业，全球已掀起一股新能源浪潮，新能源汽车发展势头不可阻挡。因此全球新能源汽车行业的发展趋势毋容置疑，关键在于中国的新能源汽车行业配置的材料供应商要不断进行技术创新，打造核心竞争力，走高质量发展之路，构建与全球核心的电池厂合作供应链，才能顺应行业的发展，勇立全球化发展的潮头。（来自 深交所互动易）  答复时间 2020-01-04 19:36:00,0
格林美股友,2020-01-01 01:11:00,格林美的产品受金属价格波动影响较大，经营稳定性太差，说明公司商业模式很不好，请问公司如何看待这个问题！格林美：回复：公司坚守“开采城市矿山+新能源材料”的发展战略，积极布局三元动力电池材料产业链，建成废旧电池与动力电池大循环产业链，钴镍钨资源回收与硬质合金产业链，电子废弃物循环利用产业链，报废汽车综合利用产业链，废渣、废泥、废水循环利用产业链五大产业链，成为世界循环经济领域的技术领先企业。上市以来，公司实现营收从5.7亿元增长至138亿元，净利润从0.35亿元增长至7.3亿元，保持了稳定的增长，经营性现金流等各项财务指标稳步提升，推动公司从回收小小废旧电池，到炼就国家级创新平台，收获百亿循环产业工程，顺利实现业务创新升级，走上高技术、高质量发展道路。公司始终重视保护投资者合法权益，认真听取投资者对公司发展的建议、意见，并与投资者保持着顺畅的沟通机制，欢迎各位投资者来公司参观交流，更多了解公司的产业布局与发展战略。（来自 深交所互动易）  答复时间 2020-01-04 19:37:00,0
格林美股友,2020-01-01 01:13:00,贵公司如何评价格林美经营现金流不太稳定，补贴资金发放迟迟不到位，请问公司如何看待这种商业模式？格林美：回复：近年来，公司现金流指标持续改善，2019年第三季度，公司经营活动产生的现金流量净额3.41亿元，同比增长224.94%。公司始终重视保护投资者合法权益，认真听取投资者对公司发展的建议、意见，并与投资者保持着顺畅的沟通机制，欢迎各位投资者来公司参观交流，更多了解公司的产业布局与发展战略。（来自 深交所互动易）  答复时间 2020-01-04 19:37:00,0
聚焦沪深港,2020-01-01 08:03:28,"1.07%1.26%1.44%1.63%1.81%2.00%2.18%4.014.184.354.534.704.875.045.225.39持股比例(左)收盘价(右)2019-11-152019-11-292019-12-132019-12-312019-12-31持股比例：2.18%持股量：90,666,108持股差：4,967,318收盘价：4.87涨跌幅：-0.4112月31日格林美深股通持仓数据收盘价： 4.87 涨跌幅： -0.41%持股量： 9066.61万股 持股变化： 496.73万股数据显示，截至12月31日格林美于深股通持股量为9066.61万股，占其A股股本比例为2.18%，比上一交易日增加496.73万股。据数据统计，该股近一个月内累计涨幅为20.25%，深股通累计加仓4239.43万，深股通持仓累计变化比例为87.82%，近三个月内累计涨幅为9.44%，深股通累计加仓7028.58万，深股通持仓累计变化比例为344.87%。数据来源:东方财富声明：数据基于历史，不代表未来趋势，不对您构成任何投资建议。投资者据此操作，风险请自担。",4
多欲心烦陆家老大,2020-01-01 08:41:33,2019年深成指涨44%，格林美涨22%，而且是在19年12月新能源，锂电池大涨的背景下，垃圾股才录得全年22%的涨幅,1
格林美股友,2020-01-01 09:12:00,三元正级材料与三元前驱体的关系？格林美：回复：感谢您的关注！三元前驱体是生产三元正极材料的关键性原料，其性能直接决定三元正极材料的核心性能。（来自 深交所互动易）  答复时间 2020-01-04 19:38:00,0
格林美股友,2020-01-01 09:14:00,宁德时代已自建10万吨前驱体项目，请问是否和公司的前驱体是否一样，宁德时代的前驱体项目建好后，是否将不再采购格林美的？格林美：回复：公司作为全球新能源电池材料制造领域的领先企业，三元前驱体定位于高镍与单晶高端产品，全面掌握了高镍与单晶材料的制造技术，成为全球三元前驱体制造领域能够大规模制造NCA&NCM全系列产品的少数企业，拥有三元前驱体制造的极具世界竞争力的关键核心技术。公司三元前驱体出货量位居世界前列，主流供应三星供应链、ECOPRO等全球行业知名客户。未来三年，公司已签署近30万吨三元前驱体战略长单，进一步奠定了公司在国内以及全球三元前驱体材料领域的市场核心地位，将推动公司业绩实现稳定增长。（来自 深交所互动易）  答复时间 2020-01-04 19:38:00,0
格林美股友,2020-01-01 09:16:00,市场上现在正在扩产或自建三元前驱体超过50万吨，请问公司如何看待这个问题？是否会出现大量过剩的情况！格林美：回复：新能源汽车行业是一个全球性的市场，需要以全球化的视野来看待行业的发展问题。从国家战略上看，新能源汽车作为国家战略的地位不会动摇。2019年12月，国家发布了《新能源汽车产业发展规划（2021-2035年）》（征求意见稿），指出发展新能源汽车是我国从汽车大国迈向汽车强国的必由之路，是应对气候变化、推动绿色发展的战略举措，到2025年，新能源汽车新车销量占比达到25%左右，该规划为未来十五年中国新能源汽车的发展指明了方向，表明了国家对新能源行业的认可。前段时间，德国总理默克尔参观大众集团，强调政府将出台优惠政策大力扶持德国新能源汽车产业的发展，以德国为首的欧洲政府纷纷出台政策大力支持本国新能源汽车产业的发展。同时，主流汽车厂商都将新能源汽车作为未来的主攻方向，积极布局新能源汽车行业，全球已掀起一股新能源浪潮，新能源汽车发展势头不可阻挡。因此我们认为全球新能源汽车行业的发展趋势毋容置疑，关键在于中国的新能源汽车行业配置的材料供应商要不断进行技术创新，打造核心竞争力，走高质量发展之路，构建与全球核心的电池厂合作供应链，才能顺应行业的发展，勇立全球化发展的潮头。（来自 深交所互动易）  答复时间 2020-01-04 19:39:00,0
格林美股友,2020-01-01 09:27:00,公司最近怎么不说供不应求的话了？是不是卖不动了，没有订单了？格林美：回复：公司作为全球新能源电池材料的领先企业，三元前驱体定位于高镍与单晶高端产品。目前，公司新能源材料业务板块产能积极释放，三元前驱体出货量再次名列国内前茅。截至第三季度，公司2019年三元前驱体销量已达到5万吨以上，主流供应三星供应链、ECOPRO等全球行业知名客户。未来三年，公司已签署近30万吨三元前驱体战略长单，进一步奠定了公司在国内以及全球三元前驱体材料领域的市场核心地位，将推动公司业绩实现稳定增长。（来自 深交所互动易）  答复时间 2020-01-04 19:39:00,0
升至涨停再连板,2020-01-01 09:37:53,很好，现在入的话正好不过了，存在补涨空间，日本现在也在研究电池回收钴了，而格林美己经做了很多年，深股通不断增持，新能源车发展预期，2020非你莫属了。,1
格林美股友,2020-01-01 09:42:00,从各大媒体和券商的荐股来看，新能源汽车产业链几乎没有推荐格林美的，格林美不是声称积极与机构联系，推销自己的价值吗，为何会出现这种无人推荐的情况？请解释！格林美：回复：公司作为全球新能源电池材料的领先企业，突破了动力电池材料的三元“核”技术，建成了全球领先的三元（NCM&NCA）前驱体材料制造基地，牵手全球巨头，构建了“格林美-邦普-宁德时代”战略合作供应链、“格林美-ECOPRO-三星SDI&SK”战略市场供应链、“格林美-厦门钨业&容百科技-比亚迪&宁德时代”市场供应链、“格林美-青山实业--瑞浦能源”战略合作链与“格林美-LGC”战略市场供应链。公司三元前驱体主流供应全球优质企业，拥有三星、CATL、ECOPRO、厦门钨业、容百科技等一批世界顶端客户。未来三年，公司已签署近30万吨三元前驱体战略长单，进一步奠定了公司在国内以及全球三元前驱体材料领域的市场核心地位，将推动公司业绩实现稳定增长。（来自 深交所互动易）  答复时间 2020-01-04 19:40:00,0
蚂蚁虽小也是肉,2020-01-01 09:53:50,行情基本到顶了？我自选股里存了大量的超跌股，我去抓一只更好的,3
hgzssz,2020-01-01 10:09:32,它从2015见顶来说总体跌幅还是算小的，所以涨得不多也属正常。,0
格林美股友,2020-01-01 10:22:00,听说格林美动力电池回收目前还是大幅亏损，是这样吗？格林美：回复：公司围绕打造“电池回收—原料再造—材料再造—电池包再造—新能源汽车服务”新能源全生命周期价值链，积极构建“1+N”废旧电池回收利用网络，打造“沟河江海”全国性回收利用体系，已与180多家车企、电池企业签订了车用动力电池回收处理协议，动力电池回收较去年大幅增加，实现了三分天下的市场份额。（来自 深交所互动易）  答复时间 2020-01-04 19:40:00,0
竹竿捕鱼,2020-01-01 11:13:33,大家发现没，最近这一周都是震荡上行，阳放阴缩，主力积极吸筹做多，成交额每天都是4亿左右，散户能做到么，难！要是主力真离开了，早就放量下跌了，话又说回来，洗盘洗了那么长时间，就挣了一跟大阳线，就那么几个点，又是每天好几个亿的成交额，手续费都不够！从以上几点分析，估计节后就要爆发！（特斯拉板块突破新高，热点一来，格林美不的翻倍）,5
lfj880829,2020-01-01 11:35:19,确实应该是加仓机会,1
lfj880829,2020-01-01 11:38:43,等我中铁工业下车再来，如果他还没起飞。12.30，31都是不错的加仓点。从初入股市懵懂被机构忽悠进苏州科达也半年多了，总结的经验就是选一只股票抱死（最好选一只优质股），然后选一个指标抱死。总能赚的,2
蒙特准,2020-01-01 11:47:22,看出来了，别出钱不声！,0
营魄抱壹,2020-01-01 12:34:32,格林美公司主营确实不错，只是讨厌年年配股圈钱，铁公鸡一只。没有机构肯入所以股价几年不涨。,0
科技消费电子行业,2020-01-01 12:34:44,外资摩根大通主买，刚刚取的中国外资证券主体资格。,1
股海帆顺,2020-01-01 12:47:59,共圈钱76亿，业绩在那里？许贼年年吹目的就是为了增发吸血股民。,2
股市里捡垃圾,2020-01-01 13:08:13,跌的少，反弹小，正常,0
股市里捡垃圾,2020-01-01 13:09:47,别急，回4.5以下买多好,0
风花雪夜玫瑰花,2020-01-01 13:37:46,格林美在2020至少可以到6元以上！有钱就买买买！,4
股市里捡垃圾,2020-01-01 13:42:44,这个股故事多，现实生活中，听故事的要买票花钱，讲故事的收门票赚钱，是这个道理吧,2
股市里捡垃圾,2020-01-01 13:42:44,这个股故事多，现实生活中，听故事的要买票花钱，讲故事的收门票赚钱，是这个道理吧,2
股市里捡垃圾,2020-01-01 13:57:52,这票月线再有一颗阴线就差不多了,1
股市里捡垃圾,2020-01-01 13:57:52,这票月线再有一颗阴线就差不多了,1
回收哥,2020-01-01 14:03:12,继续加油，争取外资早日控股,0
春天的小雨13,2020-01-01 14:48:42,还要调整三天,0
春天的小雨13,2020-01-01 14:48:42,还要调整三天,0
科技消费电子行业,2020-01-01 15:24:20,没有调整了，涨停板等着你,0
科技消费电子行业,2020-01-01 15:24:20,没有调整了，涨停板等着你,0
科技消费电子行业,2020-01-01 15:24:52,降准，利好有色金属,0
科技消费电子行业,2020-01-01 15:24:52,降准，利好有色金属,0
配zi啦伽toabyck,2020-01-01 15:41:51,降准了 还在特么的想着4元买入？,1
配zi啦伽toabyck,2020-01-01 15:41:51,降准了 还在特么的想着4元买入？,1
晓风残月1969,2020-01-01 16:11:00,降准了，明天这家伙会涨吗？大家都猜猜看。,1
晓风残月1969,2020-01-01 16:11:00,降准了，明天这家伙会涨吗？大家都猜猜看。,1
股市有涨有跌,2020-01-01 16:11:11,2020年股市十大猜想：格林美被ST.,4
股市有涨有跌,2020-01-01 16:11:11,2020年股市十大猜想：格林美被ST.,4
股市有涨有跌,2020-01-01 16:15:24,想一想可以。,0
股友TwtX1K6783,2020-01-01 16:23:31,格林美这个大象涨停有点难,0
股友TwtX1K6783,2020-01-01 16:23:31,格林美这个大象涨停有点难,0
发财了不是梦吧,2020-01-01 17:52:56,不可能,0
发财了不是梦吧,2020-01-01 17:52:56,不可能,0
股海帆顺,2020-01-01 18:25:39,呵呵…做个好梦,0
lixiku8887542,2020-01-01 19:21:04,被SB就一定会,1
lixiku8887542,2020-01-01 19:21:04,被SB就一定会,1
永远真的很远吗,2020-01-01 19:43:47,nan,2
股友DHjYZB,2020-01-01 19:59:42,这个垃圾，要退市了,0
股友DHjYZB,2020-01-01 19:59:42,这个垃圾，要退市了,0
科技消费电子行业,2020-01-01 20:20:59,有意思吗？,0
科技消费电子行业,2020-01-01 20:20:59,有意思吗？,0
我要啪啪啪,2020-01-01 20:36:09,跌,0
我要啪啪啪,2020-01-01 20:36:09,跌,0
观市指南针,2020-01-01 20:55:20,那次降准大盘不是绿的？,0
观市指南针,2020-01-01 20:55:20,那次降准大盘不是绿的？,0
你给我发一下,2020-01-01 21:31:38,少了，我看到8元，没钱加仓啊,0
风花雪夜玫瑰花,2020-01-01 21:55:38,从4元开始做多，听话的赚了,0
长沙农民,2020-01-01 22:55:55,小格格有消防题材吗?今天重庆大火，东北一机场大火。新年第一天消防概念火爆!,0
长沙农民,2020-01-01 22:55:55,小格格有消防题材吗?今天重庆大火，东北一机场大火。新年第一天消防概念火爆!,0
